學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,01111001,教育學系,D 日,D 博士,5,15,10,12,9,4,4,7,8,4,6,1,6,4,-,-,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,M 碩士,1,13,5,10,4,10,1,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01111001,教育學系,D 日,B 學士,13,44,16,37,18,42,15,37,-,-,-,-,-,-,7,10,30 臺北市,1 一般
0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,5,5,2,13,6,8,-,8,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,5,15,7,14,11,12,3,4,-,2,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,3,6,4,16,3,6,1,1,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,01131002,華語文教學博士學位學程,D 日,D 博士,-,5,1,2,-,2,-,2,-,4,-,1,-,2,-,-,30 臺北市,1 一般
0001,國立政治大學,01131002,華語文教學碩士學位學程,D 日,M 碩士,3,16,4,13,2,9,3,7,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,2,2,4,3,5,2,3,4,1,2,2,2,1,1,-,-,30 臺北市,1 一般
0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,7,8,3,3,4,5,3,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,D 博士,5,1,2,2,2,3,1,2,2,2,5,3,4,2,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,15,2,13,3,5,9,12,3,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02221020,歷史學系,D 日,B 學士,28,20,25,12,33,9,20,11,-,-,-,-,-,-,9,6,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,2,1,1,1,1,2,2,-,-,2,2,-,1,4,-,-,30 臺北市,1 一般
0001,國立政治大學,02221021,台灣史研究所,D 日,M 碩士,9,8,5,6,5,6,12,5,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,D 博士,1,1,2,1,2,1,3,3,2,1,3,1,2,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,M 碩士,3,7,1,3,3,6,4,4,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,02222031,民族學系,D 日,B 學士,19,30,16,28,15,18,16,18,-,-,-,-,-,-,5,16,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,D 博士,1,-,4,1,1,-,4,2,-,3,6,1,3,1,-,-,30 臺北市,1 一般
0001,國立政治大學,02231022,哲學系,D 日,M 碩士,6,11,8,7,7,3,5,2,-,-,-,-,-,-,-,-,30 臺北市,1 一般
